image,label,split,source,status,width,height,x1,y1,x2,y2,score,method,reviewed_at,reviewer,notes
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012080290.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012080290.txt,train,existing,accepted,2592,1944,564,227,1994,1676,73.742691,dark-edge,2026-05-04T17:31:02,,
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012080290_aug_0.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012080290_aug_0.txt,train,existing,accepted,2592,1944,433,83,2193,1743,59.775308,dark-edge,2026-05-04T17:31:08,,
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012080986.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012080986.txt,train,existing,accepted,2592,1944,586,179,2075,1692,73.837941,dark-edge,2026-05-04T17:31:11,,
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012080986_aug_0.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012080986_aug_0.txt,train,existing,accepted,2592,1944,190,139,2038,1861,52.996404,dark-edge,2026-05-04T17:31:16,,
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012080991.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012080991.txt,train,existing,accepted,2592,1944,604,206,2064,1689,73.823107,dark-edge,2026-05-04T17:31:18,,
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012080991_aug_0.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012080991_aug_0.txt,train,existing,accepted,2592,1944,135,62,2219,1890,57.459533,dark-edge,2026-05-04T17:31:23,,
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012091770.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012091770.txt,train,existing,accepted,2592,1944,582,257,2035,1709,72.178302,dark-edge,2026-05-04T17:31:26,,
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012091770_aug_0.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012091770_aug_0.txt,train,existing,accepted,2592,1944,594,270,2051,1695,81.757294,dark-edge,2026-05-04T17:31:28,,
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012091885.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012091885.txt,train,existing,accepted,2592,1944,598,263,2023,1688,72.197908,dark-edge,2026-05-04T17:31:31,,
半导体芯片表面缺陷检测/半导体芯片表面缺陷检测-解压后可直接使用/半导体芯片表面缺陷检测/train/images/2024032012091885_aug_0.jpg,chip_roi/review_tasks/existing_pseudo_800/part_005/labels/train_2024032012091885_aug_0.txt,train,existing,accepted,2592,1944,584,249,2037,1702,72.200257,dark-edge,2026-05-04T17:31:33,,
