                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9081,                 3.3516,                 1.9533,                0.00729,                0.51425,                0.10508,                0.05341,                  1.778,                 3.5329,                 1.5364,             0.00040441,             0.00040441,             0.00040441
                      2,                 1.7068,                 2.5262,                 1.7629,                0.04029,                0.49987,                0.09178,                0.05115,                 1.7628,                 3.3035,                  1.635,             0.00081566,             0.00081566,             0.00081566
                      3,                 1.7164,                 2.3638,                 1.8015,                0.60736,                0.32253,                0.38648,                0.21721,                 1.8436,                  2.558,                  1.758,              0.0012214,              0.0012214,              0.0012214
                      4,                 1.7079,                 2.2145,                 1.7889,                0.54129,                0.40898,                0.36602,                0.20584,                 2.1271,                 4.3405,                 2.0462,              0.0012252,              0.0012252,              0.0012252
                      5,                 1.6642,                 2.0886,                 1.7655,                0.55006,                0.54969,                0.54795,                 0.2857,                 1.8511,                 2.2031,                 1.7676,               0.001217,               0.001217,               0.001217
                      6,                 1.6335,                 1.9893,                 1.7355,                0.66321,                0.67565,                0.74872,                0.39963,                 1.7146,                 1.5189,                 1.5627,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.5922,                 1.8878,                 1.7084,                0.72551,                0.60466,                0.66713,                0.41975,                 1.7471,                 2.0107,                 1.7124,              0.0012005,              0.0012005,              0.0012005
                      8,                 1.5749,                  1.852,                 1.7033,                0.44711,                 0.5619,                0.44686,                0.26797,                  1.666,                 1.7497,                 1.5604,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.5387,                 1.7906,                 1.6701,                0.89383,                0.85965,                0.92088,                0.59061,                 1.4768,                 1.2102,                 1.4434,               0.001184,               0.001184,               0.001184
                     10,                 1.5167,                 1.7399,                 1.6543,                0.27814,                 0.3367,                0.23408,                0.15742,                  1.767,                 3.2377,                 1.7738,              0.0011757,              0.0011757,              0.0011757
                     11,                 1.5173,                 1.7095,                 1.6561,                0.80306,                0.72616,                0.83359,                0.54738,                  1.516,                 1.3458,                 1.4344,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.4835,                 1.6735,                 1.6347,                0.17294,                0.16386,                0.14419,                0.08933,                 1.7739,                 3.5874,                 1.7433,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.4664,                  1.663,                 1.6234,                0.87583,                0.91469,                0.94485,                0.59506,                 1.3987,                0.93349,                 1.4084,               0.001151,               0.001151,               0.001151
                     14,                 1.4544,                 1.6397,                 1.6213,                0.88592,                0.88675,                0.93309,                0.62502,                 1.3413,                0.99177,                 1.3147,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.4422,                 1.5982,                 1.6113,                0.89225,                0.83813,                0.90405,                0.58292,                 1.3568,                   1.14,                 1.3162,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.4204,                 1.5821,                 1.5946,                0.37308,                0.47018,                0.40783,                0.25144,                 1.5373,                  1.642,                 1.5098,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.4045,                 1.5532,                 1.5766,                0.78288,                0.70682,                0.78098,                0.50594,                 1.4639,                 1.5616,                 1.3816,               0.001118,               0.001118,               0.001118
                     18,                 1.3914,                  1.543,                 1.5658,                0.32344,                0.42176,                 0.2984,                0.17931,                 1.5404,                 2.2181,                 1.4831,              0.0011098,              0.0011098,              0.0011098
                     19,                 1.3968,                 1.5709,                 1.5842,                0.65224,                0.68715,                 0.7284,                 0.4503,                 1.3791,                 1.1957,                 1.3168,              0.0011015,              0.0011015,              0.0011015
                     20,                 1.3933,                 1.5283,                 1.5672,                0.48155,                0.43628,                 0.5102,                0.35856,                 1.4724,                 2.3416,                  1.498,              0.0010933,              0.0010933,              0.0010933
                     21,                 1.3775,                 1.5191,                  1.561,                0.45544,                0.40165,                0.43331,                0.33771,                 1.7056,                 3.9909,                 1.7702,               0.001085,               0.001085,               0.001085
                     22,                 1.3694,                 1.4966,                 1.5629,                0.72559,                0.60435,                 0.6774,                0.48587,                 1.3117,                 1.6718,                 1.3463,              0.0010768,              0.0010768,              0.0010768
                     23,                 1.3574,                 1.4642,                 1.5386,                0.88425,                0.90125,                 0.9389,                0.63551,                 1.2743,                0.84014,                 1.2878,              0.0010685,              0.0010685,              0.0010685
                     24,                 1.3549,                 1.4707,                 1.5446,                  0.932,                0.93874,                0.96762,                0.68619,                 1.2617,                0.75886,                 1.2798,              0.0010603,              0.0010603,              0.0010603
                     25,                 1.3285,                 1.4048,                 1.5146,                0.94599,                0.93643,                0.97025,                0.67074,                 1.2811,                 0.7141,                 1.2553,               0.001052,               0.001052,               0.001052
                     26,                 1.3367,                  1.447,                 1.5383,                0.94762,                0.91143,                0.96505,                 0.6831,                 1.2447,                0.75971,                 1.2665,              0.0010438,              0.0010438,              0.0010438
                     27,                 1.3382,                 1.4503,                  1.543,                0.71317,                0.50339,                0.56503,                0.38571,                  1.356,                 1.5768,                 1.3532,              0.0010355,              0.0010355,              0.0010355
                     28,                  1.308,                 1.3981,                 1.5193,                0.63469,                  0.597,                0.65694,                0.47814,                 1.3631,                 1.8134,                  1.354,              0.0010273,              0.0010273,              0.0010273
                     29,                 1.3134,                 1.4166,                 1.5308,                0.95861,                0.94948,                0.97683,                0.71058,                 1.1288,                0.67955,                  1.191,               0.001019,               0.001019,               0.001019
                     30,                 1.3044,                 1.4014,                 1.5181,                0.91392,                 0.9632,                0.97038,                0.69609,                 1.2607,                0.72238,                 1.2782,              0.0010107,              0.0010107,              0.0010107
                     31,                   1.31,                 1.3843,                  1.521,                0.94914,                0.93513,                0.97325,                0.69859,                 1.2766,                0.76941,                 1.2733,              0.0010025,              0.0010025,              0.0010025
                     32,                 1.2993,                 1.3943,                 1.5117,                0.57316,                0.57866,                0.61331,                0.45066,                 1.3621,                 1.8812,                 1.3901,             0.00099425,             0.00099425,             0.00099425
                     33,                 1.2878,                 1.3709,                 1.5065,                0.90477,                0.95982,                0.95704,                 0.6843,                 1.2007,                0.72637,                 1.2433,               0.000986,               0.000986,               0.000986
                     34,                 1.2997,                  1.375,                 1.5222,                0.27503,                0.19826,                0.22006,                0.12957,                 1.5209,                 3.0045,                 1.5527,             0.00097775,             0.00097775,             0.00097775
                     35,                 1.2849,                 1.3557,                 1.4942,                0.88917,                0.78598,                0.86659,                0.61119,                 1.2253,                0.79775,                 1.2842,              0.0009695,              0.0009695,              0.0009695
                     36,                 1.2788,                 1.3626,                 1.4965,                0.27681,                0.31242,                 0.3079,                0.22659,                 1.4135,                 2.1515,                 1.4011,             0.00096125,             0.00096125,             0.00096125
                     37,                 1.2806,                 1.3523,                 1.4977,                0.89125,                 0.7668,                0.83382,                0.60354,                 1.2066,                 1.0143,                 1.2358,               0.000953,               0.000953,               0.000953
                     38,                 1.2776,                 1.3355,                 1.4968,                0.07129,                0.27387,                0.07509,                0.05264,                 1.4112,                  3.392,                 1.4734,             0.00094475,             0.00094475,             0.00094475
                     39,                 1.2644,                 1.3326,                 1.5029,                0.72516,                0.58481,                0.63298,                0.45502,                  1.241,                 1.6831,                 1.2941,              0.0009365,              0.0009365,              0.0009365
                     40,                 1.2559,                  1.322,                 1.4839,                0.79504,                0.60482,                0.70344,                0.49831,                 1.3336,                 1.2956,                 1.3131,             0.00092825,             0.00092825,             0.00092825
                     41,                 1.2448,                 1.3032,                 1.4829,                0.96664,                0.96245,                 0.9837,                0.70602,                 1.1428,                0.65433,                 1.1801,                0.00092,                0.00092,                0.00092
                     42,                 1.2385,                 1.2938,                 1.4681,                0.96286,                0.95656,                 0.9851,                0.74787,                 1.1071,                0.61453,                 1.1882,             0.00091175,             0.00091175,             0.00091175
                     43,                 1.2368,                 1.2876,                 1.4596,                 0.8636,                0.80121,                0.86717,                0.65605,                 1.1757,                 1.1389,                 1.2182,              0.0009035,              0.0009035,              0.0009035
