                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9231,                 3.6597,                 4.2622,                 1.6136,                0.00414,                0.41786,                0.11219,                0.06929,                0.00423,                 0.4006,                 0.1016,                0.03752,                 1.3927,                 2.5082,                  3.692,                 1.3536,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.3684,                 1.9843,                 2.2832,                 1.1122,                0.00463,                0.56009,                0.36298,                 0.2195,                0.00375,                0.46137,                0.27073,                0.12724,                 1.3614,                  2.083,                 3.5203,                 1.2734,             0.00038494,             0.00038494,             0.00038494
                      3,                 1.2891,                 1.7189,                 1.6493,                 1.0817,                0.96046,                0.12863,                0.42251,                0.23418,                0.94069,                0.12029,                0.38593,                0.15127,                 1.3604,                 2.0502,                 3.2721,                 1.1923,             0.00057974,             0.00057974,             0.00057974
                      4,                 1.2445,                 1.6283,                 1.3941,                 1.0671,                0.78944,                0.08883,                0.25249,                0.15318,                0.75151,                 0.0754,                 0.1979,                  0.072,                 1.3073,                 1.8467,                 3.1585,                 1.2296,             0.00077191,             0.00077191,             0.00077191
                      5,                 1.2319,                 1.6207,                 1.2799,                 1.0679,                0.53869,                0.20235,                0.40557,                0.24698,                0.48383,                0.17803,                0.31286,                0.13765,                   1.37,                  2.307,                 2.7233,                 1.2057,             0.00096143,             0.00096143,             0.00096143
                      6,                 1.1951,                 1.5969,                 1.1708,                 1.0516,                 0.8101,                0.33446,                0.49071,                0.29923,                0.73012,                0.35968,                0.47613,                0.18774,                 1.3768,                 1.9348,                 1.9642,                 1.2058,              0.0011483,              0.0011483,              0.0011483
                      7,                 1.1826,                 1.5605,                  1.111,                  1.048,                0.62232,                0.43528,                0.52424,                0.28991,                0.61242,                0.43577,                0.52615,                0.24178,                 1.5313,                 1.7855,                 1.9231,                 1.3778,              0.0012005,              0.0012005,              0.0012005
                      8,                 1.1984,                 1.5249,                 1.0623,                 1.0467,                0.75772,                 0.6562,                0.76396,                0.46636,                0.72236,                0.61974,                 0.7237,                0.30091,                 1.2563,                  1.674,                 1.1734,                 1.1612,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.1468,                 1.5031,                0.98571,                 1.0417,                0.60681,                0.67028,                0.70658,                0.43495,                0.58696,                0.65424,                0.65985,                0.28379,                  1.226,                 1.6102,                 1.4941,                 1.1149,               0.001184,               0.001184,               0.001184
                     10,                 1.1164,                 1.4534,                0.92431,                 1.0205,                 0.8435,                0.74205,                0.83081,                0.51743,                0.75715,                0.70754,                0.77225,                 0.3465,                 1.2078,                  1.531,                 1.0356,                 1.1407,              0.0011757,              0.0011757,              0.0011757
                     11,                 1.1269,                 1.4326,                  0.879,                 1.0231,                0.80715,                0.85009,                0.91223,                0.61891,                0.76204,                0.80593,                0.83105,                  0.335,                 1.1623,                 1.6813,                0.93569,                 1.0918,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.0962,                 1.4019,                0.85419,                 1.0112,                0.84595,                 0.8696,                0.92081,                0.61677,                0.81464,                0.83414,                0.89151,                0.42526,                 1.1708,                 1.5038,                0.84886,                 1.1265,              0.0011593,              0.0011593,              0.0011593
                     13,                  1.091,                  1.413,                0.80923,                 1.0127,                 0.8236,                0.74252,                0.84986,                0.57438,                0.81066,                0.72535,                0.81272,                0.38344,                 1.1433,                 1.5647,                 1.0238,                  1.077,               0.001151,               0.001151,               0.001151
                     14,                 1.0814,                 1.4053,                0.78314,                 1.0109,                0.90242,                0.81341,                0.91333,                0.63653,                0.87364,                0.79549,                0.88021,                0.43661,                 1.0787,                 1.4906,                0.79428,                 1.0567,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.0716,                 1.3944,                0.77427,                 1.0036,                0.91492,                0.88728,                0.93578,                0.65268,                0.83921,                0.85826,                0.85665,                 0.3718,                 1.0482,                 1.7923,                0.71546,                 1.0457,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.0444,                 1.3647,                0.73096,                0.98834,                0.89303,                0.92427,                0.95017,                0.66719,                0.86537,                0.89188,                0.89939,                0.46526,                 1.0766,                 1.4384,                0.69523,                 1.0515,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.0229,                 1.3333,                0.70536,                0.98075,                0.88933,                0.80124,                0.92986,                0.63993,                0.87233,                0.78647,                0.90053,                 0.3916,                 1.0556,                 1.4495,                0.83618,                 1.0595,               0.001118,               0.001118,               0.001118
